luc_class,region,rock_type,soil,slope,erosion,vegetation
7e24,MARL,Gw,57a,F    +G,2Sc1Sh1G,M 1 m 2 n4b
lake,SI,lake,lake,lake,lake,lake
3s 2,WLN,Al/Gr,H,A,1Sb,P 1
7e22,GEC,Gw+Ac,@NZSC,F    +G,3G 2Sc2D 2Sb,refer gecveg
8e 3,WLN,Gw,21a,G,1Ss1Sc1Da,M 6
8w 2,SI,Wb,92,A,0,H 1
4w 1,NLD,Al,YU,A,0,P 1
rive,MARL,rive,rive,rive,rive,rive
8e 4,GEC,Gw,@NZSC,G    +F,2Da,refer gecveg
6w 2,SI,Pt,87a,B,0,P 1 p 2 h 1 h 2
5c 1,SHW,(Lo)/Mb,28,E    +D,1Sh,P 1
rive,SI,rive,rive,rive,rive,rive
2s 5,WKO,Pt+Al,Rt,A,0,H 1 p 2
8c 2,SI,ice,ice,ice,ice,ice
8e 5,WLN,Gw,Tx,G,2Sc1G 1Sh1W,P 4 h 4 m 5
lake,SI,lake,lake,lake,lake,lake
lake,SI,lake,lake,lake,lake,lake
rive,SI,rive,rive,rive,rive,rive
2c 2,SI,Lo/Al,33,A    +B,0,P 1 l 3 l 1
8e 9,SI,Gw,57,F    +G,5Sc,p 4
4s 5,SI,Al,43a,B    +A,0,P 1 m 4
6s 4,NLD,Us+(Ar'),WK,C    +B,0,N 6
estu,NLD,estu,estu,estu,estu,M12
8w 2,BOP,Tp,Yp,B',1Sb,P 2 l 3
7s 3,MARL,Al,99,A,2D 2Sb,P 2 h 7 p 5 m 2
7e20,MARL,Gw,51,F,3Sh1G 1R,P 2 p 3 m10
6s 3,MARL,Al,52,A,1W,P 2 p 3
2w 3,WKO,Al,Wg,A,0,P 1
lake,MARL,lake,lake,lake,lake,lake
5c 2,SI,(Lo)/Hs,36cH,E,1Sh,P 2 M 6 p 3
7s 6,SI,Pt,87,A,0,H 1 m 8
4w 3,NLD,Al+Pt,MFm,A,0,H 1 h 2
7e10,NLD,Wb/Us,PNH,D    +C,0,N 6
4w 3,NLD,Pt+Al,OGd,A,0,H 1 m 1 m 4
3e 1,WKO,Mo,57,C,0,P 1
lake,NLD,lake,lake,lake,lake,lake
town,SI,town,town,town,town,town
rive,MARL,rive,rive,rive,rive,rive
8c 2,SI,ice,ice,ice,ice,ice
2c 3,TMU,Mo,67,A    +B,0,P 1
1s 1,WKO,Us,48a,A    +B,0,P 1 l 1
6e10,TMU,(Mo)/Sm,116,F    +E,1Ss,P 2 m 8
6c 2,TMU,Sm,76aH,D    +E,0,P 2
8c 2,SI,ice,ice,ice,ice,ice
lake,SI,lake,lake,lake,lake,lake
lake,SI,lake,lake,lake,lake,lake
7w 1,MARL,Al+Pt,86,A,0,H 1 h 2
7w 1,MARL,Al+Pt,86,A,0,H 1 n 6 m 1
7e22,SI,Ar,PS,E    +F,1Sh Ss,P 2 m 4 m 1
6e14,NLD,Us,TTH,D,1W 1Sh,M 1 P 2
7e 6,COR,Wb,2,B,2W,P 2 n 1
4w 1,NLD,Al,MF,A,2Sb,P 1 n 7
4s 9+4e 8,MARL,Al,99,A    +B,2D 1Sb,P 2 n4b m 1
6e14,WKO,Gw',122b,F    +E,1Ss,P 2
4e 3,WKO,(Mo)/Sm,ThH,D,1Sh,P 1
8w 1,BOP,Al,111b,A,0,H 5
lake,WKO,lake,lake,lake,lake,lake
3c 1,GEC,Kt/Mo,@NZSC,A    +B,0,refer gecveg
6e 4,WKO,Mo/Li,60cH,E    +F,0,P 1 n 5 n 6
6e22,SI,(Al)/St1,10a,F,2W  Sh,P 3 p 2
6e25+4e 2,TMU,Mo/Vo,67H,E    +C,0,P 2 m 4
lake,SI,lake,lake,lake,lake,lake
lake,SI,lake,lake,lake,lake,lake
6c 1,SI,(Lo)/St2,BL,B,1W  Sh,P 3 p 4
lake,SI,lake,lake,lake,lake,lake
6e15,NLD,Wb,PNH,C,0,M 1 n 6 p 2
6e 6,NLD,Us,HO,C,1Sh1W,P 1 p 2 m 1
6s 2,COR,Gr+Al,1,B,1Sb,P 2
6e12,NLD,Mx+Sm,AEH,D    +E,1Ef1Sh1G,P 1 h 2 m 1
6e 9,NLD,Gw',MRH,D,1G,P 1
lake,NLD,lake,lake,lake,lake,lake
lake,SI,lake,lake,lake,lake,lake
4w 3,NLD,Pt+Al,RK,A,0,P 1 h 2
7e 6,NLD,Gw',RAH,F,0,N3a M 1 n 7
town,NLD,town,town,town,town,town
6e17,NLD,Gw,MRH,E    +F,1Ss,P 1 M 1
3w 4,NLD,Al+Pt,RK,A    +B,0,P 1 h 2
6e12,MARL,Gw,24,F    +E,1Sh,P 2 p 3 m 4
8s 2+7e26,GEC,Gr,@NZSC,A,5D,refer gecveg
7e11,GEC,Gw,@NZSC,F    +G,1Ss,refer gecveg
7e17,GEC,Sm+Mm,@NZSC,F    +G,1Ss,refer gecveg
8w 1,SI,Pt+Al,87,A,0,H 1 m 1
2w 2,NLD,Al+(Pt),KA,A,0,P 1
7e14,GEC,Sb,@NZSC,F    +G,0,refer gecveg
6e 7,NLD,Sb+(Ar),OFH,E    +D,1Sh,P 1 M 1 n3a
lake,SI,lake,lake,lake,lake,lake
7w 1+4w 3,SI,Pt,87,A,0,H 2 P 5
7e 9,SI,Gw,47b,F,1Sh,M 1 N 5
4e 5,SI,Cw,St,D    +C,1Ss,P 1 h 2
8e 2,SI,St1,41,G,3Sh Ss,m
7e 9,SI,Gn,PoS,F,1Ss Sh,M 4 P 2 m 8
6e 7,NLD,Sm+Ar,YC,D    +E,1T 1Ef1G,P 1 h 2 n3a
6e12,MARL,Gw,24,F,1Sh1Sc,P 3 m11 p 2
8c 2,SI,ice,ice,ice,ice,ice
6e13,GEC,Sm+Mm,@NZSC,D    +E,0,refer gecveg
6w 1,WKO,Tp,Ws,A,0,N 8 h 1
7e20,MARL,Gw,51,F,3Sh,P 3 p 2
7e 1,NLD,Vo,TES,F    +G,1Sh,N3a p 2
7e10,NLD,Wb,BRock,C,2W,P 6
6e16,NLD,Vo'+Vo,AKH,E    +F,1Sh,P 2 M 1 n3a
6e17,NLD,Gw,MRH,E    +F,2Ss1T,P 1 m 1
6s 7,SI,Al,49,A,1W,P 2 p 3 m10
7s 6,SI,Pt,87,A,0,H 1 M 8 m 1
4e 2,NLD,Vo',YO,D    +C,1Sh,P 1 n3a
2w 2,WKO,Us+Pt,108a,A,0,P 1
3e 5,TMU,Mo/Mm,65,B    +C,0,P 1
6e23,TMU,(Mo)/Sm,116,F,2Ss,M 6 P 2 m 1
lake,SI,lake,lake,lake,lake,lake
7e20,MARL,Gw,51,E    +F,2Sh,P 3 p 2 h 7
7e 9,NLD,Us,TTH,F,2Sh2W 2G,P 2 h 3 m 1
7e22,GEC,Gw,@NZSC,G    +F,3G 2Sc2Su2Ss,refer gecveg
3s 1,NLD,Vo+(Us),WPe,A,0,P 1
6e 1,WKO,Mo/Vo,PeH,E    +F,1Es,P 1
6e12,MARL,Gw,24,F,1Sh,M 4 p 2 m11 p 3
7e 8,NLD,Ac,HKH,E,3G 1Sh1Es,M 1 m 6 n 6
6w 1,NLD,Al,WFm,A,1Sb,P 1 h 2 n 7 h 1 m 9
lake,NHB,lake,lake,lake,lake,lake
4s 3,MARL,Al,95a,C,1Sh,N 6 m 1 m 4
1c 1,TMU,Mo,66a,A    +B,0,P 1
3w 1,WKO,Al,To,A,0,P 1
3e 1,WKO,Mo,59a,C    +B,0,P 1 l 1
6s 3,SI,Al,99b,A,1Sb,P 2 n3a
estu,NLD,estu,estu,estu,estu,M12
8e 5,GEC,Vo,@NZSC,G    +H,2Ss2Da,refer gecveg
1c 1,NHB,Al,59SiL,A,0,P 1 l 1 l 2
8e 1,NLD,Wb,BRock,C    +B,5W,-
town,TMU,town,town,town,town,town
6e 9,NLD,Gw',MRuH,E    +D,1Ss1Sh,N3a M 1 p 1
lake,SI,lake,lake,lake,lake,lake
6w 1,NLD,Al+(Vo),WF,A,0,P 1 n 7 h 2
1c 3,TMU,Mo,66,A,0,P 1
8e 7,SI,Hs+St2,67,G    +F,2Sh Da,M 5
lake,SI,lake,lake,lake,lake,lake
8e 1,NLD,Us+Wb+(Cg),BRock,C    +G,2W 1Ss,h 3
4e 7,NLD,Gw',RA,C,0,M 1 m 8 m 6
4e 7,TMU,Mo/La,Pua,D,0,P 2 h 2 m 6
7e13,GEC,(Mo)/Vo,@NZSC,C    +F,1Sh1W,refer gecveg
6s 6,SI,Al/Ls,47fH,D    +E,0,M 6
6e 2,MARL,Ls,74,F    +G,1Ss,P 3 p 2
6e 9,NLD,Gw',MRuH,E    +D,1Sh,P 1 n 7 n3a
6e 2,NLD,Vo,YNH,E,1G,N3a n 2
rive,SI,rive,rive,rive,rive,rive
7c 3,MARL,Al/Gw,50,B    +C,1W,H 7 p 3
2s 5,WKO,Pt+Al,Rt,A,0,P 1
7e 8,SHW,Mj,25a,D,1Ef,P 2
6e17,MARL,Gw,57a,F,2Sh,M 1 p 2
rive,MARL,rive,rive,rive,rive,rive
2s 5,TMU,Tp,Pu,A,0,P 1
4w 1,GEC,Al,@NZSC,A,2D 1Sb,refer gecveg
town,SI,town,town,town,town,town
6e 7,GEC,Kt/Mo/Sb,@NZSC,D    +E,0,refer gecveg
7w 2,SI,Al,91a,A,0,M 1 H 1
6e 2,NLD,Vo,TUH,E,1Sh,N 6 p 1 n3a
4e 2,WKO,Mo/Gw',86b,D    +C,0,P 1 m 1
7e 8,GEC,Ac+Ar,@NZSC,E    +F,1Ss1G,refer gecveg
8e 3,WLN,Gw,123,F,1Sh1W,N4b h 4
2c 3+3w 5,TMU,Mo,67,A    +B,0,P 1
4w 1,GEC,Al/Gr+Mo,@NZSC,A    +B,3Sb,refer gecveg
4e13,SI,(Lo)/St2,54b,C,1Sh Ss,P 3 p 2 m11
7e 1,NLD,Vo,TErS,F,0,N3a m 6
7e24,MARL,Gw,57a,F,1Sh1Sc,P 3 M 2 p 2
3e 8,SI,Lo/Al,20,B,1W,P 1
6e13,SHW,Li,28bH,E,1Sh,P 2 m 1
3c 2,SI,(Lo)/Al,33a,A,0,P 1 l 1 l 3
6e 9,BOP,Kt/Mo/Gw,ToiH,E,0,P 2
3s 3,SHW,Lo/Gr+Al,29e,A    +B,1Sb,P 1 m 1
8e 4,GEC,Gw,@NZSC,H,2Da,refer gecveg
3e 1,WKO,Mo,59,C,0,P 1 l 1
2w 1,NLD,Al,KMm,A,0,P 1 h 2
7e 1,NLD,Vo,HAS,F    +G,2Sh2W,M 1 n 1
4e 1,WKO,Mo,57,C    +D,0,P 1 l 1
6e 1,NLD,Sb',YCeH,E    +D,1Ss1T 1G,P 1 n 7
6e 7,SHW,Mj,29H,E /F,2Ef1Ss,P 2
3s 2,MARL,Lo/Al/Ms,25,A,1W,P 1 l 3
6e 5,BOP,Mo/Vo,NrH,E,0,N 5
7e16,TMU,Us,PhS,F,1Ss,M 8 m 1 p 2
6s 7,SI,Al,E,A,1W,P 2 n 6
3e12,SI,Lo/St2,29,C    +D,1Sh,P 1 m 8
7e 6,NLD,Gw,TRS,F    +G,0,P 1
6e20,TMU,Mo/Mj,MprH,D,0,P 2 m 1 m 4
6e19,MARL,Gw,51,E,1Sh,H 7 p 2 m 1 m10 m11
6e 7,NLD,Sm+Ar,YCH,D    +E,1T 1G 1Ef,P 1 h 2 n3a
5c 1,SHW,(Lo)/Li,28D,E    +D,0,P 1 n3a
3w 3,SI,Al,89e,A,1Sb,P 1
7e20,MARL,Gw,51,F,2Sh,M10 h 7 m11 p 2
3w 4,TMU,Wb,P,A,0,P 1
4c 3,SI,Al,99b,A,1Sb,P 1 p 2 m 8
3e 3,NLD,Sm'+Gw',OC,C,0,P 1 m 1
6e 9,NLD,Gw',MRH,E    +D,1Sh,P 1
6e12,MARL,Gw,24,F,1Sh1Ss,P 2 m 4 p 3
6c 1,MARL,Al/Gw,50a,B    +C,1W,P 2 h 7 p 3 m11 m10
4e13,BOP,Kt/Mo/Vo,ToiH,D    +E,0,N3a m 6
6e17,MARL,Gw,57a,F    +E,2Sh1Ss,M 1 p 3 m 2 h 7
4e 5,NLD,Sm,RP,C    +D,0,P 1 m 1
6e14,GEC,Kt/Mo/Mb,@NZSC,E,0,refer gecveg
3e 3,MARL,Lo/Al/Ms,20c,B,1W,P 1 l 3 l 1
7e12,SI,St1,24a,F    +G,2Sh G,P 3 M 6 m 1
6e13,MARL,Gw,17a,E    +F,1Sh1Ss,P 3 m 1 p 2
town,WKO,town,town,town,town,town
4c 3,SI,Al,99a,A,0,P 2 m 6 l 3
6s11,SI,Al,99a,B    +D,1Sh,P 3
4s10,MARL,Al,99,A,1Sb1D,P 2 n4b
4e 2,TMU,Mo,66,D    +C,0,P 1 n 8
6e 2,NLD,Vo,TES,E    +D,1Ss1Sh,M 6 n3a m 1
3s 2,SI,Al,Sy,B,0,P 1 l 4
4s 1,SHW,Al/Gr,75a,A,0,P 2 m 1
rive,COR,rive,rive,rive,rive,rive
2s 5,WKO,Pt,Rt,A,0,P 1
